OBJECTID,JURISDICTION,OWNERSHIP,MUNICIPALITY,NAME,FROM_,TO_,CLASS,CLASS_OP,DES_SURF_WIDTH,Shape_Length
7849,LOCAL,OSHAWA,OSHAWA,FLORELL DR,HARCOURT DR,OLIVE AVE,L/R,L,,273.087886587966
7850,LOCAL,OSHAWA,OSHAWA,DOWNING CT,CHARRINGTON AVE,PADDINGTON CRES,L/R,L,,68.9068426324615
7851,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE W,NIPIGON ST,TRENT ST,ART,C,,102.021671272751
7852,LOCAL,OSHAWA,OSHAWA,KEATES AVE,FAREWELL ST,MILTON ST,L/R,L,,168.602442179214
7853,LOCAL,OSHAWA,OSHAWA,MILTON ST,TENNYSON AVE,SHELLEY AVE,L/R,L,,88.0529521449257
7854,LOCAL,OSHAWA,OSHAWA,MILTON ST,SHELLEY AVE,CHESTERTON AVE,L/R,L,,87.3326186480433
7855,LOCAL,OSHAWA,OSHAWA,SHELLEY AVE,MILTON ST,BROWNING ST,L/R,L,,167.379495745971
7856,LOCAL,OSHAWA,OSHAWA,SENECA AVE,SOMERVILLE ST,SARCEE ST,L/R,L,,294.202913738118
7857,LOCAL,OSHAWA,OSHAWA,GLENBOURNE DR,MACINALLY CT,GRANDVIEW ST N,C/R,COL,,193.338968607481
7858,LOCAL,OSHAWA,OSHAWA,RAGLAN RD E,WILSON RD N,HARMONY RD N,400,L,,799.769154547396
7859,LOCAL,OSHAWA,OSHAWA,PALMETTO DR,EVERGLADES DR,POMPANO CT,L/R,L,,76.4064018908816
7860,LOCAL,OSHAWA,OSHAWA,TROWBRIDGE DR,COMPTON CRES,COMPTON CRES,C/R,COL,,119.840009356677
7861,LOCAL,OSHAWA,OSHAWA,VEGA ST,ADELAIDE AVE E,ASTRA AVE,L/R,L,,64.8736858022899
7862,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,FOUNDERS GATE,CONLIN RD,ART,B,,200.137732799551
7863,LOCAL,OSHAWA,OSHAWA,MALIBU ST,44 m S OF ELDORADO,ELDORADO AVE,L/R,L,,40.3992709424894
7864,LOCAL,OSHAWA,OSHAWA,COLDSTREAM DR,ORMOND DR,NORTHFIELD AVE,ART,C,,177.932346939479
7865,LOCAL,OSHAWA,OSHAWA,EASTGROVE AVE,RIVERSIDE DR N,EASTHAVEN ST,L/R,L,,81.3529000077647
7866,LOCAL,OSHAWA,OSHAWA,RIVERSIDE DR N,FLORIAN CT,EASTGROVE AVE,L/R,L,,85.4139816042308
7867,LOCAL,OSHAWA,OSHAWA,KEEWATIN ST S,APPLEGROVE AVE,SPRINGDALE CRES,C/R,COL,,166.944413905866
